Age,Gender,Mobile Phone,Mobile phone use for education,Mobile phone activities,Helpful for studying,Daily usages,Performance impact,Usage distraction,Attention span,Useful features,Health Risks,Usage symptoms,Symptom frequency,Health precautions,Health rating,Year
21-25,Male,Yes,Frequently,All of these,Yes,> 6 hours,Neutral,During Exams,Yes,Internet Access,Only Partially,Sleep disturbance;Anxiety or Stress,Sometimes,Taking Break during prolonged use,Good,2024
16-20,Male,Yes,Sometimes,All of these,Yes,2-4 hours,Neutral,While Studying,Yes,Internet Access,Yes,Headache,Sometimes,Using Blue light filter,Good,2024
21-25,Male,Yes,Frequently,All of these,Yes,2-4 hours,Agree,While Studying,Yes,Internet Access,No,All of these,Rarely,Limiting Screen Time,Good,2024
21-25,Male,Yes,Never,Social Media,Yes,2-4 hours,Neutral,During Class Lectures,No,Calculator,Yes,All of these,Never,Limiting Screen Time,Excellent;Good,2024
16-20,Male,Yes,Sometimes,All of these,Yes,4-6 hours,Agree,During Exams,No,Internet Access,Yes,Headache,Rarely,Limiting Screen Time,Excellent;Good,2024
26-30,Male,Yes,Sometimes,Social Media,Yes,4-6 hours,Agree,During Class Lectures,No,Notes Taking App,Yes,All of these,Sometimes,Limiting Screen Time,Good,2024
21-25,Male,Yes,Rarely,Messaging,Yes,4-6 hours,Disagree,While Studying,Yes,Camera,Yes,Sleep disturbance,Rarely,Using Blue light filter,Good,2024
21-25,Male,Yes,Sometimes,All of these,Yes,4-6 hours,Strongly agree,Not Distracting,No,Camera,Yes,All of these,Sometimes,None of Above,Excellent,2024
21-25,Male,Yes,Sometimes,Social Media,Yes,4-6 hours,Agree,During Exams,Yes,Camera,Yes,Headache,Never,Using Blue light filter,Excellent,2024
21-25,Male,Yes,Frequently,All of these,Yes,> 6 hours,Agree,While Studying,Yes,Internet Access,No,Sleep disturbance,Sometimes,None of Above,Excellent,2024
21-25,Male,Yes,Frequently,All of these,Yes,2-4 hours,Agree,While Studying,Yes,Internet Access,Yes,All of these,Sometimes,Taking Break during prolonged use,Excellent,2024
16-20,Female,Yes,Sometimes,All of these,Yes,> 6 hours,Neutral,While Studying,Yes,Internet Access,Only Partially,All of these,Sometimes,Using Blue light filter,Fair,2024
21-25,Male,Yes,Never,All of these,Yes,< 2 hours,Agree,While Studying,Yes,Internet Access,Yes,Headache,Sometimes,Limiting Screen Time,Excellent,2024
21-25,Male,Yes,Sometimes,Social Media;All of these,Yes,4-6 hours,Agree,During Class Lectures,No,Internet Access,Only Partially,Sleep disturbance,Sometimes,None of Above,Excellent,2024
21-25,Male,Yes,Rarely,Social Media;Web-browsing;Messaging;All of these,Yes,< 2 hours,Neutral,While Studying,Yes,Internet Access,Yes,Headache,Never,Using Blue light filter,Excellent,2024
21-25,Male,Yes,Sometimes,Social Media;Web-browsing;Messaging;All of these,Yes,2-4 hours,Agree,During Exams,Yes,Internet Access,Yes,Sleep disturbance,Sometimes,Limiting Screen Time,Excellent,2024
21-25,Male,Yes,Frequently,All of these,Yes,2-4 hours,Agree,While Studying,Yes,Internet Access,Yes,All of these,Sometimes,Taking Break during prolonged use,Excellent,2024
16-20,Male,Yes,Sometimes,Social Media,Yes,> 6 hours,Neutral,Not Distracting,No,Internet Access,No,Anxiety or Stress,Never,None of Above,Excellent,2024
